generic_name,commercial_name,presentation,active_substance,route,concentration,status
Metformina,"Glucophage 300",Suspensión,Metformina,Ótica,"100 mg",active
Omeprazol,"Prilosec 800",Jarabe,Omeprazol,Oral,"500 mg",active
Ketorolaco,"Toradol 200",Cápsulas,Ketorolaco,Tópica,"100 ml",active
Clonazepam,"Klonopin 400",Inyectable,Clonazepam,Inhalatoria,"500 mcg",active
Fluoxetina,"Prozac 300",Inyectable,Fluoxetina,Ótica,"20 mg",active
Diclofenaco,"Voltaren 900",Pomada,Diclofenaco,Oral,"2 mg",active
Ibuprofeno,"Advil 200",Suspensión,Ibuprofeno,Intravenosa,"500 mg",active
Ketorolaco,"Toradol 500",Jarabe,Ketorolaco,Oral,"10 mg",active
Losartan,"Cozaar 500",Gotas,Losartan,Ótica,"400 mg",active
Naproxeno,"Aleve 100",Inhalador,Naproxeno,Inhalatoria,"100 mg",active
Atorvastatina,"Lipitor 100",Jarabe,Atorvastatina,Oftálmica,"400 mg",active
Ibuprofeno,"Advil 500",Inyectable,Ibuprofeno,Tópica,"10 mg",active
Dexametasona,"Decadron 700",Supositorios,Dexametasona,Intravenosa,"1 g",active
Diclofenaco,"Voltaren 600",Inyectable,Diclofenaco,Sublingual,"400 mg",active
Azitromicina,"Zithromax 900",Pomada,Azitromicina,Oftálmica,"100 mg",active
Ciprofloxacino,"Cipro 200",Gotas,Ciprofloxacino,Sublingual,"500 mcg",active
Azitromicina,"Zithromax 300",Inhalador,Azitromicina,Oral,"500 mcg",active
Azitromicina,"Zithromax 100",Tabletas,Azitromicina,Intravenosa,"5 ml",active
Ibuprofeno,"Advil 200",Pomada,Ibuprofeno,Intramuscular,"500 mg",active
Atorvastatina,"Lipitor 300",Supositorios,Atorvastatina,Oral,"5 ml",active
Naproxeno,"Aleve 200",Suspensión,Naproxeno,Intramuscular,"500 mg",active
Amoxicilina,"Amoxil 800",Suspensión,Amoxicilina,Oral,"500 mcg",active
Ketorolaco,"Toradol 700",Gotas,Ketorolaco,Rectal,"250 mg",active
Paracetamol,"Tylenol 600",Supositorios,Paracetamol,Intramuscular,"5 ml",active
Amoxicilina,"Amoxil 700",Pomada,Amoxicilina,Sublingual,"500 mg",active
Ceftriaxona,"Rocephin 400",Cápsulas,Ceftriaxona,Inhalatoria,"500 mg",active
Dexametasona,"Decadron 400",Gotas,Dexametasona,Intravenosa,"5 ml",active
Enalapril,"Vasotec 200",Inyectable,Enalapril,Oftálmica,"50 mg",active
Losartan,"Cozaar 600",Inhalador,Losartan,Ótica,"500 mg",active
Ciprofloxacino,"Cipro 800",Inyectable,Ciprofloxacino,Inhalatoria,"400 mg",active
Amoxicilina,"Amoxil 600",Gotas,Amoxicilina,Rectal,"500 mcg",active
Salbutamol,"Ventolin 200",Inyectable,Salbutamol,Ótica,"250 mg",active
Metformina,"Glucophage 300",Pomada,Metformina,Sublingual,"20 mg",active
Azitromicina,"Zithromax 700",Inhalador,Azitromicina,Oftálmica,"500 mg",active
Ketorolaco,"Toradol 500",Crema,Ketorolaco,Intravenosa,"10 mg",active
Losartan,"Cozaar 700",Supositorios,Losartan,Intramuscular,"500 mg",active
Clonazepam,"Klonopin 900",Tabletas,Clonazepam,Ótica,"5 ml",active
Dexametasona,"Decadron 300",Cápsulas,Dexametasona,Sublingual,"10 mg",active
Sertralina,"Zoloft 200",Pomada,Sertralina,Sublingual,"250 mg",active
Ciprofloxacino,"Cipro 500",Supositorios,Ciprofloxacino,Rectal,"2 mg",active
Omeprazol,"Prilosec 200",Crema,Omeprazol,Ótica,"500 mcg",active
Ceftriaxona,"Rocephin 800",Inhalador,Ceftriaxona,Oftálmica,"50 mg/ml",active
Naproxeno,"Aleve 900",Jarabe,Naproxeno,Sublingual,"5 ml",active
Ketorolaco,"Toradol 400",Inhalador,Ketorolaco,Ótica,"100 mg",active
Atorvastatina,"Lipitor 500",Cápsulas,Atorvastatina,Inhalatoria,"250 mg",active
Diclofenaco,"Voltaren 100",Gotas,Diclofenaco,Oftálmica,"100 ml",active
Ceftriaxona,"Rocephin 900",Crema,Ceftriaxona,Rectal,"20 mg",active
Paracetamol,"Tylenol 200",Cápsulas,Paracetamol,Intravenosa,"250 mg",active
Losartan,"Cozaar 600",Pomada,Losartan,Ótica,"50 mg",active
Metformina,"Glucophage 300",Inyectable,Metformina,Intramuscular,"100 ml",active
Azitromicina,"Zithromax 800",Supositorios,Azitromicina,Inhalatoria,"1 g",active
Salbutamol,"Ventolin 800",Pomada,Salbutamol,Ótica,"1 g",active
Dexametasona,"Decadron 900",Supositorios,Dexametasona,Oral,"10 mg",active
Dexametasona,"Decadron 900",Tabletas,Dexametasona,Tópica,"100 ml",active
Azitromicina,"Zithromax 200",Tabletas,Azitromicina,Rectal,"100 mg",active
Naproxeno,"Aleve 900",Supositorios,Naproxeno,Ótica,"250 mg",active
Loratadina,"Claritin 500",Cápsulas,Loratadina,Rectal,"500 mcg",active
Ceftriaxona,"Rocephin 700",Suspensión,Ceftriaxona,Rectal,"100 mg",active
Sertralina,"Zoloft 400",Crema,Sertralina,Oftálmica,"20 mg",active
Metformina,"Glucophage 500",Jarabe,Metformina,Ótica,"5 ml",active
Naproxeno,"Aleve 400",Tabletas,Naproxeno,Oftálmica,"850 mg",active
Ibuprofeno,"Advil 500",Cápsulas,Ibuprofeno,Intramuscular,"20 mg",active
Metformina,"Glucophage 300",Inhalador,Metformina,Intravenosa,"250 mg",active
Salbutamol,"Ventolin 200",Suspensión,Salbutamol,Ótica,"850 mg",active
Omeprazol,"Prilosec 200",Suspensión,Omeprazol,Ótica,"500 mg",active
Salbutamol,"Ventolin 200",Crema,Salbutamol,Intravenosa,"250 mg",active
Ciprofloxacino,"Cipro 400",Pomada,Ciprofloxacino,Intravenosa,"400 mg",active
Fluoxetina,"Prozac 800",Pomada,Fluoxetina,Intramuscular,"50 mg",active
Omeprazol,"Prilosec 500",Gotas,Omeprazol,Oftálmica,"20 mg",active
Salbutamol,"Ventolin 900",Gotas,Salbutamol,Ótica,"500 mcg",active
Enalapril,"Vasotec 100",Pomada,Enalapril,Tópica,"400 mg",active
Ciprofloxacino,"Cipro 300",Supositorios,Ciprofloxacino,Ótica,"20 mg",active
Azitromicina,"Zithromax 500",Inyectable,Azitromicina,Oftálmica,"400 mg",active
Naproxeno,"Aleve 400",Jarabe,Naproxeno,Oftálmica,"50 mg/ml",active
Loratadina,"Claritin 800",Pomada,Loratadina,Sublingual,"100 ml",active
Diclofenaco,"Voltaren 400",Jarabe,Diclofenaco,Rectal,"5 ml",active
Ibuprofeno,"Advil 900",Crema,Ibuprofeno,Oftálmica,"500 mg",active
Losartan,"Cozaar 400",Pomada,Losartan,Oftálmica,"500 mcg",active
Ketorolaco,"Toradol 500",Suspensión,Ketorolaco,Oral,"250 mg",active
Paracetamol,"Tylenol 200",Pomada,Paracetamol,Ótica,"500 mg",active
Ketorolaco,"Toradol 100",Inyectable,Ketorolaco,Rectal,"850 mg",active
Enalapril,"Vasotec 700",Supositorios,Enalapril,Intramuscular,"500 mg",active
Salbutamol,"Ventolin 900",Crema,Salbutamol,Rectal,"100 mg",active
Clonazepam,"Klonopin 800",Suspensión,Clonazepam,Tópica,"2 mg",active
Atorvastatina,"Lipitor 300",Supositorios,Atorvastatina,Ótica,"50 mg",active
Ciprofloxacino,"Cipro 900",Tabletas,Ciprofloxacino,Oftálmica,"850 mg",active
Dexametasona,"Decadron 400",Crema,Dexametasona,Sublingual,"50 mg/ml",active
Losartan,"Cozaar 200",Crema,Losartan,Sublingual,"50 mg",active
Azitromicina,"Zithromax 600",Inhalador,Azitromicina,Intramuscular,"20 mg",active
Clonazepam,"Klonopin 400",Inyectable,Clonazepam,Rectal,"50 mg/ml",active
Dexametasona,"Decadron 900",Cápsulas,Dexametasona,Inhalatoria,"10 mg",active
Dexametasona,"Decadron 500",Jarabe,Dexametasona,Sublingual,"20 mg",active
Diclofenaco,"Voltaren 900",Cápsulas,Diclofenaco,Intramuscular,"50 mg",active
Atorvastatina,"Lipitor 300",Gotas,Atorvastatina,Oftálmica,"2 mg",active
Clonazepam,"Klonopin 200",Crema,Clonazepam,Oftálmica,"500 mg",active
Diclofenaco,"Voltaren 500",Pomada,Diclofenaco,Intravenosa,"50 mg/ml",active
Losartan,"Cozaar 700",Gotas,Losartan,Oral,"50 mg/ml",active
Losartan,"Cozaar 600",Supositorios,Losartan,Intramuscular,"500 mcg",active
Losartan,"Cozaar 800",Suspensión,Losartan,Rectal,"5 ml",active
Ibuprofeno,"Advil 600",Inhalador,Ibuprofeno,Intramuscular,"50 mg",active
Losartan,"Cozaar 200",Jarabe,Losartan,Sublingual,"500 mcg",active
Losartan,"Cozaar 900",Gotas,Losartan,Rectal,"50 mg/ml",active
Azitromicina,"Zithromax 800",Inyectable,Azitromicina,Inhalatoria,"100 ml",active
Ceftriaxona,"Rocephin 800",Tabletas,Ceftriaxona,Tópica,"850 mg",active
Sertralina,"Zoloft 200",Jarabe,Sertralina,Sublingual,"100 ml",active
Clonazepam,"Klonopin 200",Crema,Clonazepam,Intravenosa,"100 mg",active
Ceftriaxona,"Rocephin 200",Inyectable,Ceftriaxona,Intravenosa,"250 mg",active
Ceftriaxona,"Rocephin 800",Tabletas,Ceftriaxona,Intramuscular,"100 ml",active
Dexametasona,"Decadron 400",Inyectable,Dexametasona,Intramuscular,"100 ml",active
Diclofenaco,"Voltaren 200",Inyectable,Diclofenaco,Oftálmica,"1 g",active
Clonazepam,"Klonopin 100",Tabletas,Clonazepam,Sublingual,"500 mg",active
Atorvastatina,"Lipitor 600",Inyectable,Atorvastatina,Tópica,"1 g",active
Ibuprofeno,"Advil 900",Suspensión,Ibuprofeno,Intramuscular,"10 mg",active
Fluoxetina,"Prozac 700",Inhalador,Fluoxetina,Tópica,"20 mg",active
Fluoxetina,"Prozac 400",Inhalador,Fluoxetina,Tópica,"50 mg",active
Paracetamol,"Tylenol 200",Gotas,Paracetamol,Oral,"850 mg",active
Fluoxetina,"Prozac 200",Cápsulas,Fluoxetina,Ótica,"10 mg",active
Naproxeno,"Aleve 800",Crema,Naproxeno,Intravenosa,"100 ml",active
Fluoxetina,"Prozac 700",Supositorios,Fluoxetina,Sublingual,"100 ml",active
Ciprofloxacino,"Cipro 300",Suspensión,Ciprofloxacino,Rectal,"10 mg",active
Naproxeno,"Aleve 500",Cápsulas,Naproxeno,Inhalatoria,"50 mg",active
Ceftriaxona,"Rocephin 600",Suspensión,Ceftriaxona,Oral,"500 mcg",active
Amoxicilina,"Amoxil 600",Inhalador,Amoxicilina,Ótica,"2 mg",active
Paracetamol,"Tylenol 800",Crema,Paracetamol,Sublingual,"2 mg",active
Ceftriaxona,"Rocephin 100",Crema,Ceftriaxona,Intravenosa,"500 mg",active
Metformina,"Glucophage 500",Gotas,Metformina,Oral,"10 mg",active
Ibuprofeno,"Advil 600",Cápsulas,Ibuprofeno,Oral,"500 mcg",active
Naproxeno,"Aleve 400",Jarabe,Naproxeno,Sublingual,"100 mg",active
Metformina,"Glucophage 200",Gotas,Metformina,Ótica,"10 mg",active
Metformina,"Glucophage 300",Cápsulas,Metformina,Ótica,"250 mg",active
Amoxicilina,"Amoxil 800",Cápsulas,Amoxicilina,Inhalatoria,"100 mg",active
Naproxeno,"Aleve 400",Gotas,Naproxeno,Oral,"1 g",active
Metformina,"Glucophage 500",Jarabe,Metformina,Rectal,"20 mg",active
Sertralina,"Zoloft 300",Crema,Sertralina,Intravenosa,"50 mg/ml",active
Atorvastatina,"Lipitor 400",Suspensión,Atorvastatina,Oral,"500 mcg",active
Salbutamol,"Ventolin 100",Inyectable,Salbutamol,Oral,"500 mg",active
Salbutamol,"Ventolin 100",Pomada,Salbutamol,Oftálmica,"5 ml",active
Azitromicina,"Zithromax 700",Jarabe,Azitromicina,Ótica,"250 mg",active
Diclofenaco,"Voltaren 900",Suspensión,Diclofenaco,Sublingual,"250 mg",active
Atorvastatina,"Lipitor 500",Suspensión,Atorvastatina,Rectal,"2 mg",active
Clonazepam,"Klonopin 500",Crema,Clonazepam,Oral,"100 ml",active
Naproxeno,"Aleve 900",Tabletas,Naproxeno,Sublingual,"850 mg",active
Losartan,"Cozaar 900",Pomada,Losartan,Rectal,"500 mg",active
Ibuprofeno,"Advil 100",Gotas,Ibuprofeno,Sublingual,"20 mg",active
Azitromicina,"Zithromax 400",Cápsulas,Azitromicina,Tópica,"500 mg",active
Amoxicilina,"Amoxil 200",Cápsulas,Amoxicilina,Inhalatoria,"10 mg",active
Clonazepam,"Klonopin 100",Crema,Clonazepam,Rectal,"250 mg",active
Paracetamol,"Tylenol 600",Gotas,Paracetamol,Rectal,"20 mg",active
Naproxeno,"Aleve 100",Crema,Naproxeno,Inhalatoria,"400 mg",active
Ceftriaxona,"Rocephin 200",Inhalador,Ceftriaxona,Ótica,"100 mg",active
Loratadina,"Claritin 100",Gotas,Loratadina,Intramuscular,"50 mg",active
Salbutamol,"Ventolin 800",Inhalador,Salbutamol,Intramuscular,"20 mg",active
Metformina,"Glucophage 400",Crema,Metformina,Ótica,"10 mg",active
Salbutamol,"Ventolin 900",Inhalador,Salbutamol,Sublingual,"50 mg",active
Loratadina,"Claritin 400",Crema,Loratadina,Intramuscular,"10 mg",active
Azitromicina,"Zithromax 600",Pomada,Azitromicina,Tópica,"2 mg",active
Ceftriaxona,"Rocephin 400",Pomada,Ceftriaxona,Ótica,"500 mcg",active
Enalapril,"Vasotec 100",Pomada,Enalapril,Inhalatoria,"20 mg",active
Ceftriaxona,"Rocephin 800",Suspensión,Ceftriaxona,Intramuscular,"250 mg",active
Ketorolaco,"Toradol 100",Inyectable,Ketorolaco,Oral,"850 mg",active
Loratadina,"Claritin 500",Inhalador,Loratadina,Tópica,"850 mg",active
Amoxicilina,"Amoxil 200",Gotas,Amoxicilina,Inhalatoria,"50 mg",active
Atorvastatina,"Lipitor 700",Suspensión,Atorvastatina,Oftálmica,"500 mcg",active
Diclofenaco,"Voltaren 300",Jarabe,Diclofenaco,Inhalatoria,"5 ml",active
Losartan,"Cozaar 300",Jarabe,Losartan,Ótica,"400 mg",active
Amoxicilina,"Amoxil 600",Crema,Amoxicilina,Ótica,"500 mg",active
Dexametasona,"Decadron 900",Supositorios,Dexametasona,Oftálmica,"50 mg",active
Salbutamol,"Ventolin 300",Jarabe,Salbutamol,Rectal,"100 mg",active
Dexametasona,"Decadron 100",Inyectable,Dexametasona,Oral,"20 mg",active
Clonazepam,"Klonopin 600",Inyectable,Clonazepam,Sublingual,"5 ml",active
Ciprofloxacino,"Cipro 700",Jarabe,Ciprofloxacino,Oftálmica,"2 mg",active
Clonazepam,"Klonopin 100",Pomada,Clonazepam,Sublingual,"10 mg",active
Enalapril,"Vasotec 700",Tabletas,Enalapril,Inhalatoria,"10 mg",active
Ceftriaxona,"Rocephin 800",Crema,Ceftriaxona,Oftálmica,"250 mg",active
Ibuprofeno,"Advil 300",Cápsulas,Ibuprofeno,Ótica,"500 mg",active
Loratadina,"Claritin 200",Gotas,Loratadina,Oral,"100 ml",active
Ketorolaco,"Toradol 300",Pomada,Ketorolaco,Sublingual,"10 mg",active
Dexametasona,"Decadron 100",Gotas,Dexametasona,Oral,"50 mg/ml",active
Salbutamol,"Ventolin 500",Gotas,Salbutamol,Tópica,"20 mg",active
Naproxeno,"Aleve 600",Pomada,Naproxeno,Ótica,"50 mg/ml",active
Amoxicilina,"Amoxil 200",Cápsulas,Amoxicilina,Inhalatoria,"1 g",active
Clonazepam,"Klonopin 700",Crema,Clonazepam,Sublingual,"100 ml",active
Amoxicilina,"Amoxil 400",Inyectable,Amoxicilina,Tópica,"50 mg/ml",active
Diclofenaco,"Voltaren 800",Inhalador,Diclofenaco,Intramuscular,"100 mg",active
Dexametasona,"Decadron 700",Supositorios,Dexametasona,Rectal,"50 mg",active
Loratadina,"Claritin 200",Crema,Loratadina,Tópica,"5 ml",active
Dexametasona,"Decadron 200",Crema,Dexametasona,Sublingual,"500 mg",active
Paracetamol,"Tylenol 400",Inyectable,Paracetamol,Oral,"50 mg/ml",active
Diclofenaco,"Voltaren 500",Inyectable,Diclofenaco,Intravenosa,"250 mg",active
Ibuprofeno,"Advil 600",Suspensión,Ibuprofeno,Intravenosa,"100 ml",active
Azitromicina,"Zithromax 700",Tabletas,Azitromicina,Sublingual,"50 mg/ml",active
Paracetamol,"Tylenol 800",Jarabe,Paracetamol,Rectal,"100 mg",active
Clonazepam,"Klonopin 400",Supositorios,Clonazepam,Intramuscular,"2 mg",active
Salbutamol,"Ventolin 200",Supositorios,Salbutamol,Intravenosa,"400 mg",active
Ciprofloxacino,"Cipro 200",Pomada,Ciprofloxacino,Ótica,"10 mg",active
Metformina,"Glucophage 500",Suspensión,Metformina,Sublingual,"100 ml",active
Sertralina,"Zoloft 200",Jarabe,Sertralina,Oftálmica,"5 ml",active
Diclofenaco,"Voltaren 500",Suspensión,Diclofenaco,Intramuscular,"50 mg",active
Omeprazol,"Prilosec 800",Supositorios,Omeprazol,Sublingual,"50 mg/ml",active
Dexametasona,"Decadron 400",Cápsulas,Dexametasona,Ótica,"500 mg",active
Clonazepam,"Klonopin 500",Pomada,Clonazepam,Sublingual,"50 mg",active
Amoxicilina,"Amoxil 900",Suspensión,Amoxicilina,Ótica,"50 mg",active
Sertralina,"Zoloft 500",Gotas,Sertralina,Intravenosa,"10 mg",active
Omeprazol,"Prilosec 200",Inyectable,Omeprazol,Ótica,"500 mcg",active
Amoxicilina,"Amoxil 800",Supositorios,Amoxicilina,Tópica,"1 g",active
Enalapril,"Vasotec 600",Inyectable,Enalapril,Rectal,"100 mg",active
Losartan,"Cozaar 300",Inhalador,Losartan,Sublingual,"20 mg",active
Losartan,"Cozaar 900",Inhalador,Losartan,Inhalatoria,"500 mcg",active
Omeprazol,"Prilosec 600",Tabletas,Omeprazol,Intravenosa,"400 mg",active
Ketorolaco,"Toradol 700",Tabletas,Ketorolaco,Intramuscular,"850 mg",active
Ciprofloxacino,"Cipro 100",Inhalador,Ciprofloxacino,Ótica,"500 mg",active
Dexametasona,"Decadron 300",Gotas,Dexametasona,Rectal,"500 mg",active
Atorvastatina,"Lipitor 800",Gotas,Atorvastatina,Ótica,"50 mg",active
Omeprazol,"Prilosec 400",Cápsulas,Omeprazol,Inhalatoria,"250 mg",active
Metformina,"Glucophage 800",Inhalador,Metformina,Sublingual,"500 mcg",active
Ibuprofeno,"Advil 700",Tabletas,Ibuprofeno,Sublingual,"20 mg",active
Enalapril,"Vasotec 500",Jarabe,Enalapril,Tópica,"20 mg",active
Omeprazol,"Prilosec 300",Pomada,Omeprazol,Oral,"1 g",active
Ceftriaxona,"Rocephin 800",Jarabe,Ceftriaxona,Inhalatoria,"100 mg",active
Enalapril,"Vasotec 300",Supositorios,Enalapril,Ótica,"2 mg",active
Loratadina,"Claritin 600",Cápsulas,Loratadina,Ótica,"10 mg",active
Sertralina,"Zoloft 600",Cápsulas,Sertralina,Oral,"10 mg",active
Azitromicina,"Zithromax 100",Crema,Azitromicina,Inhalatoria,"250 mg",active
Amoxicilina,"Amoxil 100",Supositorios,Amoxicilina,Oftálmica,"50 mg",active
Atorvastatina,"Lipitor 800",Inhalador,Atorvastatina,Sublingual,"10 mg",active
Atorvastatina,"Lipitor 100",Cápsulas,Atorvastatina,Intravenosa,"10 mg",active
Diclofenaco,"Voltaren 100",Cápsulas,Diclofenaco,Rectal,"20 mg",active
Azitromicina,"Zithromax 200",Supositorios,Azitromicina,Inhalatoria,"850 mg",active
Naproxeno,"Aleve 500",Crema,Naproxeno,Inhalatoria,"250 mg",active
Loratadina,"Claritin 900",Cápsulas,Loratadina,Rectal,"500 mcg",active
Ciprofloxacino,"Cipro 400",Supositorios,Ciprofloxacino,Sublingual,"100 ml",active
Atorvastatina,"Lipitor 100",Inyectable,Atorvastatina,Intravenosa,"5 ml",active
Fluoxetina,"Prozac 900",Cápsulas,Fluoxetina,Oftálmica,"2 mg",active
Ceftriaxona,"Rocephin 800",Suspensión,Ceftriaxona,Ótica,"2 mg",active
Naproxeno,"Aleve 300",Tabletas,Naproxeno,Ótica,"50 mg",active
Diclofenaco,"Voltaren 400",Tabletas,Diclofenaco,Inhalatoria,"500 mg",active
Dexametasona,"Decadron 300",Cápsulas,Dexametasona,Inhalatoria,"50 mg/ml",active
Enalapril,"Vasotec 600",Inhalador,Enalapril,Oftálmica,"1 g",active
Ciprofloxacino,"Cipro 800",Inhalador,Ciprofloxacino,Tópica,"50 mg/ml",active
Metformina,"Glucophage 100",Tabletas,Metformina,Sublingual,"2 mg",active
Enalapril,"Vasotec 400",Cápsulas,Enalapril,Rectal,"10 mg",active
